Субъект,Код ОКПД-2,Округ,Месяц,Год,Значение
Амурская область,23.52.10.110,ДВФО,1,2020,0.0
Еврейская автономная область,23.52.10.110,ДВФО,1,2020,0.0
Камчатский край,23.52.10.110,ДВФО,1,2020,0.0
Магаданская область,23.52.10.110,ДВФО,1,2020,0.0
Приморский край,23.52.10.110,ДВФО,1,2020,0.0
Республика Саха (Якутия),23.52.10.110,ДВФО,1,2020,0.0
Сахалинская область,23.52.10.110,ДВФО,1,2020,0.0
Хабаровский край,23.52.10.110,ДВФО,1,2020,0.0
Кировская область,23.52.10.110,ПФО,1,2020,0.0
Нижегородская область,23.52.10.110,ПФО,1,2020,3.8
Оренбургская область,23.52.10.110,ПФО,1,2020,14.9
Пензенская область,23.52.10.110,ПФО,1,2020,0.0
Пермский край,23.52.10.110,ПФО,1,2020,5.1
Республика Башкортостан,23.52.10.110,ПФО,1,2020,149.253
Республика Марий Эл,23.52.10.110,ПФО,1,2020,1.6
Республика Мордовия,23.52.10.110,ПФО,1,2020,1.0
Республика Татарстан,23.52.10.110,ПФО,1,2020,1.8
Самарская область,23.52.10.110,ПФО,1,2020,2.5
Саратовская область,23.52.10.110,ПФО,1,2020,8.1
Удмуртская Республика,23.52.10.110,ПФО,1,2020,0.0
Ульяновская область,23.52.10.110,ПФО,1,2020,7.7
Чувашская Республика,23.52.10.110,ПФО,1,2020,0.0
Архангельская область,23.52.10.110,СЗФО,1,2020,15.3
Вологодская область,23.52.10.110,СЗФО,1,2020,0.0
Калининградская область,23.52.10.110,СЗФО,1,2020,0.0
Ленинградская область,23.52.10.110,СЗФО,1,2020,0.0
Мурманская область,23.52.10.110,СЗФО,1,2020,0.0
Новгородская область,23.52.10.110,СЗФО,1,2020,13.775
Псковская область,23.52.10.110,СЗФО,1,2020,0.0
Республика Карелия,23.52.10.110,СЗФО,1,2020,0.0
Республика Коми,23.52.10.110,СЗФО,1,2020,7.9
Санкт-Петербург,23.52.10.110,СЗФО,1,2020,0.0
Кабардино-Балкарская Республика,23.52.10.110,СКФО,1,2020,0.0
Карачаево-Черкесская Республика,23.52.10.110,СКФО,1,2020,0.0
Республика Дагестан,23.52.10.110,СКФО,1,2020,1.2
Республика Ингушетия,23.52.10.110,СКФО,1,2020,0.0
Республика Северная Осетия-Алания,23.52.10.110,СКФО,1,2020,0.0
Ставропольский край,23.52.10.110,СКФО,1,2020,0.0
Чеченская Республика,23.52.10.110,СКФО,1,2020,1.39
Алтайский край,23.52.10.110,СФО,1,2020,2.5
Забайкальский край,23.52.10.110,ДВФО,1,2020,0.0
Иркутская область,23.52.10.110,СФО,1,2020,0.1
Кемеровская область,23.52.10.110,СФО,1,2020,43.0
Красноярский край,23.52.10.110,СФО,1,2020,16.4
Новосибирская область,23.52.10.110,СФО,1,2020,13.3
Омская область,23.52.10.110,СФО,1,2020,0.0
Республика Алтай,23.52.10.110,СФО,1,2020,0.0
Республика Бурятия,23.52.10.110,ДВФО,1,2020,0.0
Республика Тыва,23.52.10.110,СФО,1,2020,0.0
Республика Хакасия,23.52.10.110,СФО,1,2020,0.0
Томская область,23.52.10.110,СФО,1,2020,0.0
Курганская область,23.52.10.110,УФО,1,2020,0.0
Свердловская область,23.52.10.110,УФО,1,2020,46.4
Тюменская область,23.52.10.110,УФО,1,2020,0.0
Челябинская область,23.52.10.110,УФО,1,2020,37.3
Белгородская область,23.52.10.110,ЦФО,1,2020,32.43
Брянская область,23.52.10.110,ЦФО,1,2020,17.9
Владимирская область,23.52.10.110,ЦФО,1,2020,1.0
Воронежская область,23.52.10.110,ЦФО,1,2020,22.5
Ивановская область,23.52.10.110,ЦФО,1,2020,0.0
Калужская область,23.52.10.110,ЦФО,1,2020,8.1
Костромская область,23.52.10.110,ЦФО,1,2020,14.7
Курская область,23.52.10.110,ЦФО,1,2020,0.0
Липецкая область,23.52.10.110,ЦФО,1,2020,135.0
